domain,n_records,n_cities,n_aba,ids,cities
usasportsmedicine.com,7,5,0,"[""9567"",""9562"",""9753"",""9622"",""9607"",""9615"",""9621""]","[""FORT LAUDERDALE"",""HOLLYWOOD"",""MIAMI"",""MIAMI"",""MIAMI BEACH"",""MIAMI BEACH"",""MIAMI LAKES""]"
abacustherapies.com,7,7,7,"[""10611"",""8962"",""6662"",""10610"",""10613"",""10612"",""10609""]","[""BOCA RATON"",""FORT LAUDERDALE"",""HOLLYWOOD"",""MIAMI"",""PALM BEACH GARDENS"",""WEST PALM BEACH"",""WESTON""]"
healthcare.ascension.org,7,7,0,"[""10080"",""10233"",""10224"",""10079"",""10225"",""10221"",""10223""]","[""GULF BREEZE"",""JACKSONVILLE"",""MIRAMAR BEACH"",""PACE"",""PENSACOLA"",""PORT ST JOE"",""SANTA ROSA BEACH""]"
bassautism.com,6,5,6,"[""6681"",""9169"",""9171"",""10394"",""9172"",""6670""]","[""CLEARWATER"",""GAINESVILLE"",""GAINESVILLE"",""ORMOND BEACH"",""PORT ORANGE"",""SPRING HILL""]"
koalaaba.com,6,5,6,"[""10699"",""9323"",""10700"",""10701"",""10703"",""10702""]","[""DORAL"",""DORAL"",""MIAMI LAKES"",""MIRAMAR"",""PANAMA CITY BEACH"",""TAMPA""]"
ufhealth.org,6,1,2,"[""7041"",""7134"",""6039"",""5855"",""9180"",""7122""]","[""GAINESVILLE"",""GAINESVILLE"",""GAINESVILLE"",""GAINESVILLE"",""GAINESVILLE"",""GAINESVILLE""]"
reboundrehab.com,5,1,0,"[""9558"",""9556"",""9719"",""9724"",""9725""]","[""JACKSONVILLE"",""JACKSONVILLE"",""JACKSONVILLE"",""JACKSONVILLE"",""JACKSONVILLE""]"
firststep-therapy.com,5,5,1,"[""9086"",""10315"",""10029"",""6677"",""10084""]","[""LAKELAND"",""LONGWOOD"",""ORANGE CITY"",""TAMPA"",""WINTER HAVEN""]"
theoppt.com,5,3,0,"[""9937"",""9936"",""9967"",""9960"",""9959""]","[""CLEARWATER"",""CLEARWATER"",""LAKELAND"",""TAMPA"",""TAMPA""]"
watsonclinic.com,5,1,0,"[""9991"",""9964"",""9855"",""9965"",""9108""]","[""LAKELAND"",""LAKELAND"",""LAKELAND"",""LAKELAND"",""LAKELAND""]"
projectbrilliance.com,5,5,5,"[""10572"",""10573"",""7025"",""10574"",""8901""]","[""BOCA RATON"",""LAKE WORTH"",""PALM BEACH GARDENS"",""STUART"",""TAMPA""]"
dogtrainingelite.com,5,5,0,"[""10478"",""10479"",""10475"",""10476"",""10477""]","[""CLEARWATER"",""FORT PIERCE"",""ORLANDO"",""WEST PALM BEACH"",""WESTON""]"
baylifept.com,5,4,0,"[""9598"",""9519"",""9521"",""9520"",""9428""]","[""COCONUT CREEK"",""FORT PIERCE"",""PORT ST. LUCIE"",""PORT ST. LUCIE"",""TAMARAC""]"
caringtherapistsofbroward.com,5,5,1,"[""8579"",""7809"",""8580"",""8581"",""6635""]","[""CORAL SPRINGS"",""DAVIE"",""FORT LAUDERDALE"",""HOLLYWOOD"",""PEMBROKE PINES""]"
