id,name,address,city,county,zip_code
9411,Breakthrough Pediatric Therapy Services | Satellite - 8075 Nw 15th Manor,8075 NW 15TH MANOR,Plantation,null,33322
9426,Physical Therapy Time,1380 NE MIAMI GARDENS DR,North Miami Beach,null,33179
9433,XPE Sports Rehab,5300 POWERLINE RD,Fort Lauderdale,null,33309
9437,NAU Physical Therapy and Wellness,8509 SOUTH FEDERAL HIGHWAY U,Port St. Lucie,null,34952
9439,Physical Therapy Associates of South Florida,7171 N UNIVERSITY DR,Tamarac,null,33321
9444,Fitness Quest Physical Therapy - North Fort Myers,18900 N TAMIAMI TRL,North Fort Myers,null,33903
9455,MasMed Rehab,3181 CORAL WY 5TH FLOOR,Miami,null,33145
9458,AnatomyPT • Physical Therapy & Orthotics,301 ARTHUR GODFREY RD,Miami Beach,null,33140
9466,Aspire Physical Therapy and Wellness - Mobile Outpatient Physical Therapy Services,1110 JIMMY BUFFETT MEM HWY,Satellite Beach,null,32937
9469,"Clow Integrated Medical Center (formerly, Clow Chiropractic)",145 PALM BAY RD NE,West Melbourne,null,32904
9471,"Physical Therapy Professionals, LLC",470 MALABAR RD,Palm Bay,null,32907
9479,Women's Wisdom Integrative Wellness,3600 NW 43RD ST STE E2,Gainesville,null,32606
9505,"Dr. Daniel Komforti, PT, DPT",860 N STATE RD 434,Altamonte Springs,null,32714
9509,Rejuvenate Physical Therapy,1803 BRIAR CREEK BLVD,Safety Harbor,null,34695
9516,"Oreo Physical Therapy, LLC",7791 S U.S. HWY 1,Port St. Lucie,null,34952
9517,Longevity Rehab Center - Sebastian,13000 U.S. RTE 1 STE 7,Sebastian,null,32958
9535,Total MD,2700 W CYPRESS CREEK RD STE C100,Fort Lauderdale,null,33309
9561,Premier Physical Therapy,4230 PABLO PROFESSIONAL CT,Jacksonville,null,32224
9600,Wellsprings Health,2404 HOLLYWOOD BLVD,Hollywood,null,33020
9637,"Advanced Rehabilitation, Inc",3690 E BAY DR S,Largo,null,33771
9647,Physical Therapy of Winter Springs,701 E STATE RD 434,Winter Springs,null,32708
9665,Alkeme Sports Rx: Miami,591 SW 8TH ST,Miami,null,33130
9670,Mease Countryside Physical Therapy & Sports Rehabilitation,3251 MCMULLEN BOOTH RD STE 200,Safety Harbor,null,34695
9678,Hernandez Therapy Clinic,2950 W CYPRESS CREEK RD,Fort Lauderdale,null,33309
9680,Action Physical Therapy,1680 ST LUCIE W BLVD,Port St. Lucie,null,34986
9683,Papa Chiropractic - Port St. Lucie,10377 S U.S. HWY 1,Port St. Lucie,null,34952
9691,NextGen Physical Therapy,11400 N KENDALL DR # 206,Miami,null,33176
9732,Holy Cross Rehabilitation Institute - Pompano Beach,1650 N FEDERAL HWY,Pompano Beach,null,33062
9747,Sloane Stecker Physical Therapy - Jupiter,1155 MAIN ST STE 101,Jupiter,null,33458
9768,Florida Orthopaedic Specialists,9077 S FEDERAL HWY,Port St. Lucie,null,34952
9783,Apollo Rehab Parkland,7635 N STATE RD 7,Parkland,null,33073
9786,"Behavior Basics, Inc., Brevard Office",2401 W EAU GALLIE BLVD,Melbourne,null,32935
9797,3 C's Therapy Center,4019 W 1ST ST,Sanford,null,32771
9801,Memorial Medical Fitness - West,703 N FLAMINGO RD,Pembroke Pines,null,33028
9814,Physical Therapy Now Coral Gables,2690 CORAL WY,Coral Gables,null,33145
9841,Physical Therapy NOW Miami Lakes,15985 NW 57TH AVE,Miami Lakes,null,33014
9890,CORA Physical Therapy Fort Myers,6900 DANIELS PKWY,Fort Myers,null,33912
9900,AxisPro Physical Therapy & Hand clinic - Palm Bay,5240 BABCOCK ST NE # 102,Palm Bay,null,32905
9901,CORA Physical Therapy Satellite Beach,1024 JIMMY BUFFETT MEM HWY,Satellite Beach,null,32937
9949,CORA Physical Therapy St. Lucie West,1707 ST LUCIE W BLVD,Port St. Lucie,null,34986
9960,Optimal Performance & PT,1812,Tampa,null,33606
9962,Pelvic Solutions,307 S BOULEVARD B,Tampa,null,33606
9972,Reunion Rehabilitation Hospital Jacksonville,12645 SALINA DR,Jacksonville,null,32246
10004,Wolfson Children's Specialty Center - Baptist Clay,1747 BAPTIST CLAY DR,Fleming Island,null,32003
10010,DREAM HOPE & BELIEVE THERAPY CORP,13155 SW 134TH ST SUITE 218 & 219,Miami,null,33186
10011,My Big World Inc,8785 SW 165TH AVE SUITE 101,Miami,null,33193
10048,First Kid's PPEC - Miami,8681 CORAL WY,Miami,null,33155
10060,Loving Angels PPEC,13115 W OKEECHOBEE RD,Hialeah,null,33018
10079,Studer Family Children's Hospital Pediatric Rehabilitation - Pace,3754 US-90,Pace,null,32571
10130,"Miami Physical Therapy Associates, Inc.",2931 CORAL WY,Miami,null,33145
10131,Miami Rehab & Wellness Center,7805 CORAL WY,Miami,null,33155
10138,FYZICAL Therapy & Balance Centers - Gainesville Oaks,4423 NW 6TH PL STE C,Gainesville,null,32607
10148,Brooks Rehabilitation Outpatient Clinic - Deltona,3400 HALIFAX CROSSING BLVD,Deltona,null,32725
10179,FYZICAL Therapy & Balance Centers - Largo East,13777 BELCHER RD,Largo,null,33771
10200,PT Solutions of Fishhawk,13465 FISHHAWK BLVD,Riverview,null,33569
10202,EARLY INTERVENTION SOLUTIONS LLC,5424 LAND O' LAKES BLVD,Land O Lakes,null,34639
10206,"Tampa Choice Therapy, LLC",18946 N DALE MABRY HWY,Lutz,null,33548
10215,PT Solutions of Oldsmar (formerly Westchase Physical Therapy),3953 TAMPA RD,Oldsmar,null,34677
10227,LifeCare Therapy,7777 N UNIVERSITY DR # 101S,Tamarac,null,33321
10235,Wolfson Children's Rehabilitation - Wolfson Children’s Specialty Center - Baptist Clay,1747 BAPTIST CLAY DR SUITE 100,Fleming Island,null,32003
10241,Purposeful Play Pediatric Therapy,680 U.S. 41 BYPASS N SUITE 2,Venice,null,34285
10249,AMP PEDIATRIC THERAPY,6900 TAVISTOCK LAKES BLVD,Orlando,null,32827
10267,Barrett Outpatient Rehabilitation & Sports Medicine Center,430 MORTON PLANT ST # 101,Clearwater,null,33756
10398,Beyond Speaking Rehab Specialists,3485 W VINE ST SUITE 3485,Kissimmee,null,34741
10466,Canine Companions for Independence - Southeast Region,8150 Clarcona Ocoee Road,Orlando,null,null
10471,Project Chance,3800 Joe Ashton Rd,St. Augustine,null,null
10478,Dog Training Elite Suncoast,28921 US Hwy 19 N,Clearwater,null,null
10479,Dog Training Elite Treasure Coast,4104 Okeechobee Rd,Fort Pierce,null,null
10481,Vinceremos Therapeutic Riding Center,13300 6th Ct N,Loxahatchee,null,33470
10485,Westonwood Ranch,4390 Hwy 20,Freeport,null,32439
10486,Naples Therapeutic Riding Center,206 Ridge Dr,Naples,null,34108
10487,Horses With A Mission,16540 Lake Stewart Drive,Groveland,null,34736
10488,Sarasota Manatee Association for Riding Therapy,4640 CR 675,Bradenton,null,34211
10489,Therapeutic Riding Unlimited,3491 Nicholson Estates Rd,Pace,null,32571
10490,Hope Therapy,1591 Big Branch Rd,Middleburg,null,32068
10491,HAALT Therapeutic Center,2505 Alicia Acres Ln.,St. Augustine,null,32092
10492,Kindred Spirits Therapy Minis,5411 Hilton Rd N,Baker,null,32531
10494,Healing Hoof Steps Therapeutic Riding Program,3922 Jace Drive,Crestview,null,32539
10495,Freedom Farm of Tampa Bay and Therapy Center,8701 64th St N,Pinellas Park,null,33782
10496,"Stirrups 'n Strides Therapeutic Riding Center, Inc",4246 W Highway 318,Citra,null,32113
10497,Horses in Harmony,12834 CR 727,Webster,null,33597
10498,"Whispering Meadows Ranch, Inc.",5011 John Anderson Hwy,Flagler Beach,null,32136
10499,"Harmony Farms, Inc.",2205 Pluckebaum Rd.,Cocoa,null,32926
10500,McCormick Research Institute,4651 Rummell Rd,St. Cloud,null,34771
10501,"TRAVERSE, Inc.",3450 Lake Padgett Dr,Land O Lakes,null,34639
10502,Snickers & Giggles,18114 SE CR 234,Micanopy,null,32667
10503,3 Strands Ranch,2125 Macy Island Rd,Kissimmee,null,34744
10505,Tomorrow's Rainbow,4341 NW 39th Avenue,Coconut Creek,null,33073
10507,"Winning Effects, LLC",5018 School Rd,New Port Richey,null,34653
10511,Southern Strides,4545 James Rd,Cocoa,null,32926
10515,"Inspired Acres, Inc.",1743 Doncaster Road,Clearwater,null,33764
10516,Paramount Adaptive Riding Center,76382 Wildwood Road,Yulee,null,32097
10519,"Marion Therapeutic Riding Association, Inc.",6850 SE 41st Court,Ocala,null,34480
10520,Music 4 Miracles dba/ Harmony Hope Stables,5010 SW 69th Street,Palm City,null,34990
10521,"Freedom Ride, Inc.",3919 Bay Lake Road,Orlando,null,32808
10523,Christ Fellowship Therapeutic Riding Center,9303 Howell Lane,Palm Beach Gardens,null,33418
10526,Healing Hooves Psychotherapy Inc,6201 SW 180th Terrace,Southwest Ranches,null,33331
10527,Grace Under the Oaks,450 State Road 13 N Suite 106-431,Saint Johns,null,32259
10530,H.O.R.S.E. Therapies of Northeast Florida,13611 Normandy Blvd.,Jacksonville,null,32221
10533,HERD Foundation 501c3,5135 Conklin Drive,Delray Beach,null,33484
10537,GRACE Rides Inc.,2061 Corbin Gainey Rd,Defuniak Springs,null,32435
10538,Liebe Cornelia Hooves to Healing,5938 Hovan Ave,Plant City,null,33865
10540,Easter Seals SW Florida,1629 Ranch Rd,Nokomis,null,34275
10542,Unbridled Paths,13164 Silver Fox Lane,Palm Beach Gardens,null,33418
10544,"Healing Reigns, Inc.",7340 Durden Drive,Pensacola,null,32526
10548,Nemours / ADAPT Program,807 Children's Way,Jacksonville,null,32207
10552,"Suncoast Therapeutic Equine Partners, Inc.",1615 Verna Rd,Sarasota,null,34240
10553,Bit-By-Bit Inc.,3141 SW 118 Terrace,Davie,null,33330
10554,Easterseals at Edgars Farm - New Smyrna Beach,3804 Pioneer Trail,New Smyrna Beach,Volusia,32168
10556,St. John the Evangelist Catholic Community,"5645 Stadium Pkwy, Melbourne, FL 32940",Melbourne,null,null
10571,Paradise Coast Travel,28105 Mandolin Court Unit 211,Bonita Springs,Lee,34135
